Year,Category,Total
2018,Revenue,265.81
2019,Revenue,259.97
2020,Revenue,274.15
2021,Revenue,365.82
2022,Revenue,394.33
2023,Revenue,383.29
2024,Revenue,391.04
2018,COGS,-163.83
2019,COGS,-162.26
2020,COGS,-170.14
2021,COGS,-212.98
2022,COGS,-223.55
2023,COGS,-214.14
2024,COGS,-210.35
2018,Gross Profit,101.98
2019,Gross Profit,97.7
2020,Gross Profit,104.01
2021,Gross Profit,152.84
2022,Gross Profit,170.78
2023,Gross Profit,169.15
2024,Gross Profit,180.68
2018,Operating Expenses,-26.84
2019,Operating Expenses,-30.94
2020,Operating Expenses,-38.67
2021,Operating Expenses,-43.89
2022,Operating Expenses,-51.34
2023,Operating Expenses,-54.85
2024,Operating Expenses,-57.47
2018,Operating Income,60.03
2019,Operating Income,63.24
2020,Operating Income,65.34
2021,Operating Income,108.95
2022,Operating Income,119.44
2023,Operating Income,114.3
2024,Operating Income,123.22
2018,Pretax Income,64.09
2019,Pretax Income,65.74
2020,Pretax Income,67.09
2021,Pretax Income,109.21
2022,Pretax Income,119.1
2023,Pretax Income,113.74
2024,Pretax Income,123.48
2018,Taxes,-15.74
2019,Taxes,-10.48
2020,Taxes,-9.68
2021,Taxes,-14.53
2022,Taxes,-19.3
2023,Taxes,-16.74
2024,Taxes,-29.75
2018,Net Income,59.53
2019,Net Income,55.26
2020,Net Income,57.41
2021,Net Income,94.68
2022,Net Income,99.8
2023,Net Income,97.0
2024,Net Income,93.74
